id,kodeunit,namaunit,bulan,jumlah,tahun,created_at
141.0,11200.0,Fakultas Keperawatan,1900-10-01,492850817.0,2019-01-01,2023-09-18 10:27:25.979734
142.0,11200.0,Fakultas Keperawatan,1900-11-01,928858114.0,2019-01-01,2023-09-18 10:27:26.175925
143.0,11200.0,Fakultas Keperawatan,1900-12-01,1997666140.0,2019-01-01,2023-09-18 10:27:26.233108
144.0,11300.0,Fakultas Perikanan dan Kelautan,1900-01-01,55650409.0,2019-01-01,2023-09-18 10:27:26.281877
145.0,11300.0,Fakultas Perikanan dan Kelautan,1900-02-01,228898047.0,2019-01-01,2023-09-18 10:27:26.340547
146.0,11300.0,Fakultas Perikanan dan Kelautan,1900-03-01,234607048.0,2019-01-01,2023-09-18 10:27:26.397436
147.0,11300.0,Fakultas Perikanan dan Kelautan,1900-04-01,531845908.0,2019-01-01,2023-09-18 10:27:26.440382
148.0,11300.0,Fakultas Perikanan dan Kelautan,1900-05-01,565530264.0,2019-01-01,2023-09-18 10:27:26.500254
149.0,11300.0,Fakultas Perikanan dan Kelautan,1900-06-01,768788554.0,2019-01-01,2023-09-18 10:27:26.550489
150.0,11300.0,Fakultas Perikanan dan Kelautan,1900-07-01,611252747.0,2019-01-01,2023-09-18 10:27:26.615706
151.0,11300.0,Fakultas Perikanan dan Kelautan,1900-08-01,477370620.0,2019-01-01,2023-09-18 10:27:26.665831
152.0,11300.0,Fakultas Perikanan dan Kelautan,1900-09-01,568024609.0,2019-01-01,2023-09-18 10:27:26.732419
153.0,11300.0,Fakultas Perikanan dan Kelautan,1900-10-01,627145939.0,2019-01-01,2023-09-18 10:27:26.807452
154.0,11300.0,Fakultas Perikanan dan Kelautan,1900-11-01,790550555.0,2019-01-01,2023-09-18 10:27:26.874146
155.0,11300.0,Fakultas Perikanan dan Kelautan,1900-12-01,1362575874.0,2019-01-01,2023-09-18 10:27:26.924348
156.0,11400.0,Program Pascasarjana,1900-01-01,74897023.0,2019-01-01,2023-09-18 10:27:26.985246
157.0,11400.0,Program Pascasarjana,1900-02-01,554376545.0,2019-01-01,2023-09-18 10:27:27.041441
158.0,11400.0,Program Pascasarjana,1900-03-01,260252325.0,2019-01-01,2023-09-18 10:27:27.10825
159.0,11400.0,Program Pascasarjana,1900-04-01,306005477.0,2019-01-01,2023-09-18 10:27:27.157879
160.0,11400.0,Program Pascasarjana,1900-05-01,618911575.0,2019-01-01,2023-09-18 10:27:27.309271
161.0,11400.0,Program Pascasarjana,1900-06-01,404962478.0,2019-01-01,2023-09-18 10:27:27.386699
162.0,11400.0,Program Pascasarjana,1900-07-01,287673685.0,2019-01-01,2023-09-18 10:27:27.441971
163.0,11400.0,Program Pascasarjana,1900-08-01,351616576.0,2019-01-01,2023-09-18 10:27:27.612372
164.0,11400.0,Program Pascasarjana,1900-09-01,233132972.0,2019-01-01,2023-09-18 10:27:27.718539
165.0,11400.0,Program Pascasarjana,1900-10-01,303783140.0,2019-01-01,2023-09-18 10:27:27.837964
166.0,11400.0,Program Pascasarjana,1900-11-01,514752281.0,2019-01-01,2023-09-18 10:27:27.900766
167.0,11400.0,Program Pascasarjana,1900-12-01,1137206966.0,2019-01-01,2023-09-18 10:27:27.934045
168.0,11500.0,Fakultas Vokasi,1900-01-01,193363991.0,2019-01-01,2023-09-18 10:27:27.967348
169.0,11500.0,Fakultas Vokasi,1900-02-01,569929501.0,2019-01-01,2023-09-18 10:27:28.030344
170.0,11500.0,Fakultas Vokasi,1900-03-01,636115782.0,2019-01-01,2023-09-18 10:27:28.084474
171.0,11500.0,Fakultas Vokasi,1900-04-01,1053850715.0,2019-01-01,2023-09-18 10:27:28.151218
